Series_reference,Period,Type,Data_value,Lower_CI,Upper_CI,Units,Indicator,Cause,Validation,Population,Age,Severity
W_A11,2000-02,Moving average,59.66666667,50.92582302,68.40751031,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2001-03,Moving average,60,51.23477459,68.76522541,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2002-04,Moving average,59,50.30812505,67.69187495,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2003-05,Moving average,59,50.30812505,67.69187495,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2004-06,Moving average,61.33333333,52.47125167,70.195415,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2005-07,Moving average,63,54.01831668,71.98168332,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2006-08,Moving average,57.33333333,48.76510444,65.90156223,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2007-09,Moving average,63.66666667,54.63758627,72.69574706,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2008-10,Moving average,64,54.94731413,73.05268587,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2009-11,Moving average,64.33333333,55.25710337,73.40956329,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2010-12,Moving average,55.33333333,46.91587684,63.75078983,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2011-13,Moving average,54.66666667,46.3000714,63.03326193,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2012-14,Moving average,51.66666667,43.53288173,59.80045161,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2000-02,Moving average,1.543343121,1.317063238,1.769623003,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2001-03,Moving average,1.525510302,1.302605894,1.74841471,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2002-04,Moving average,1.464855873,1.249053431,1.680658315,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2003-05,Moving average,1.444340378,1.231538856,1.6571419,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2004-06,Moving average,1.488136846,1.273032627,1.703241065,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2005-07,Moving average,1.508692612,1.293405498,1.723979726,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2006-08,Moving average,1.356024624,1.153071925,1.558977323,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2007-09,Moving average,1.504094502,1.290341751,1.717847253,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2008-10,Moving average,1.50307983,1.289762645,1.716397015,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2009-11,Moving average,1.491112176,1.279822042,1.70240231,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2010-12,Moving average,1.259846064,1.067084058,1.452608071,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2011-13,Moving average,1.249444907,1.056861045,1.44202877,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2012-14,Moving average,1.177777924,0.990659474,1.364896375,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_F11B,2000-02,Moving average,64.33333333,55.25710337,73.40956329,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2001-03,Moving average,68.66666667,59.28974158,78.04359176,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2002-04,Moving average,79,68.942246,89.057754,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2003-05,Moving average,83.33333333,73.00341613,93.66325054,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2004-06,Moving average,86,75.50610561,96.49389439,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2005-07,Moving average,80.33333333,70.1910589,90.47560776,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2006-08,Moving average,86,75.50610561,96.49389439,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2007-09,Moving average,91,80.20536009,101.7946399,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2008-10,Moving average,98,86.79787276,109.2021272,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2009-11,Moving average,96,84.91276941,107.0872306,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2010-12,Moving average,94,83.02886926,104.9711307,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2011-13,Moving average,86.33333333,75.8191216,96.84754506,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2012-14,Moving average,88.33333333,77.69803264,98.96863403,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2000-02,Moving average,1.746581507,1.499968186,1.993194828,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2001-03,Moving average,1.838470694,1.587357389,2.089583999,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2002-04,Moving average,2.074291131,1.810206195,2.338376066,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2003-05,Moving average,2.152382334,1.885538033,2.419226634,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2004-06,Moving average,2.188612763,1.921391115,2.455834412,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2005-07,Moving average,2.006630018,1.752934246,2.26032579,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2006-08,Moving average,2.102569215,1.845497075,2.359641354,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2007-09,Moving average,2.180136506,1.92081566,2.439457352,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2008-10,Moving average,2.294072565,2.030903491,2.55724164,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2009-11,Moving average,2.177680721,1.924883079,2.430478363,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2010-12,Moving average,2.076675639,1.832837779,2.320513499,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2011-13,Moving average,1.844976321,1.618429971,2.07152267,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2012-14,Moving average,1.846076818,1.621577017,2.070576618,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_W12,2002-04,Moving average,89,78.32464154,99.67535846,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2003-05,Moving average,82.66666667,72.3781521,92.95518123,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2004-06,Moving average,77,67.07037548,86.92962452,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2005-07,Moving average,70,60.5324745,79.4675255,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2006-08,Moving average,67,57.73757157,76.26242843,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2007-09,Moving average,65.66666667,56.49686485,74.83646848,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2008-10,Moving average,77.33333333,67.38223933,87.28442733,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2009-11,Moving average,94.33333333,83.34276745,105.3238992,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2010-12,Moving average,88,77.38478488,98.61521512,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2011-13,Moving average,74.66666667,64.88864837,84.44468496,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2012-14,Moving average,52,43.84001923,60.15998077,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2013-15,Moving average,50.66666667,42.61198038,58.72135295,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2014-16,Moving average,51.33333333,43.22582886,59.4408378,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W14,2002-04,Moving average,5.156729822,4.538191178,5.775268467,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2003-05,Moving average,4.530695622,3.966291998,5.095099245,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2004-06,Moving average,4.066951323,3.541448334,4.592454312,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2005-07,Moving average,3.602869787,3.11368241,4.092057165,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2006-08,Moving average,3.339907935,2.873893248,3.805922622,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2007-09,Moving average,3.246426634,2.787400788,3.705452479,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2008-10,Moving average,3.89378328,3.383952568,4.403613992,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2009-11,Moving average,4.683107318,4.123985463,5.242229174,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2010-12,Moving average,4.294007269,3.759316063,4.828698476,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2011-13,Moving average,3.630081177,3.135431007,4.124731347,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2012-14,Moving average,2.428855043,2.029750245,2.827959842,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2013-15,Moving average,2.197340277,1.827067137,2.567613417,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2014-16,Moving average,2.063541616,1.714205086,2.412878147,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
M_S11,2000-02,Moving average,79.66666667,69.56656404,89.7667693,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2001-03,Moving average,82,71.75305536,92.24694464,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2002-04,Moving average,92.33333333,81.45989938,103.2067673,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2003-05,Moving average,100.6666667,89.31315246,112.0201809,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2004-06,Moving average,107.6666667,95.9250446,119.4082887,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2005-07,Moving average,103.6666667,92.14521955,115.1881138,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2006-08,Moving average,97.66666667,86.48360689,108.8497264,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2007-09,Moving average,89.33333333,78.63800224,100.0286644,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2008-10,Moving average,90.66666667,79.89181529,101.441518,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2009-11,Moving average,99.33333333,88.05525859,110.6114081,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2010-12,Moving average,111.3333333,99.39345037,123.2732163,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2011-13,Moving average,112.3333333,100.339948,124.3267187,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2012-14,Moving average,105,93.4046967,116.5953033,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2000-02,Moving average,13.52233735,11.80464242,15.24003228,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2001-03,Moving average,13.76102258,12.04072805,15.4813171,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2002-04,Moving average,15.31232725,13.50910437,17.11555013,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2003-05,Moving average,16.49166458,14.63133432,18.35199484,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2004-06,Moving average,17.40395702,15.50471207,19.30320198,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2005-07,Moving average,16.59850395,14.75116519,18.44584272,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
